#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xserver-xorg,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,x11-utils,"allows querying information about windows (xwininfo, xprop)."
,xinit,"starts the graphical server."
,xauth,"authenticates X sessions for startx."
,dbus-x11,"provides dbus-launch, which the xinitrc session startup requires."
,openssh-client,"provides ssh-agent, through which the xinitrc starts sxwm."
,x11-xserver-utils,"utility for configuring and adjusting the X server (xset)."
,whiptail,"provides dialog boxes for shell scripts (used by some ~/.local/bin scripts)."
,polkitd,"manages user policies."
,sudo,"allows privilege escalation; debrice's own git build steps run through it."
,fonts-linuxlibertine,"provides the serif font family for documents."
,fonts-font-awesome,"provides extended glyph support."
,fonts-dejavu,"properly displays emojis."
,fonts-noto-core,"is an expansive font package."
,fonts-noto-color-emoji,"is an emoji font."
,lf,"is an extensive terminal file manager that everyone likes."
,ueberzug,"enables previews in the lf file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,picom,"is for transparency and removing screen-tearing."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify-bin,"allows desktop notifications."
,dunst,"is a suckless notification system."
,calcurse,"terminal-based organizer for interactive and command line use"
,exfatprogs,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
,arc-theme,"gives the dark GTK theme used in debrice."
,python3-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
R,brave-browser,"is the default browser of debrice, installed from Brave's official repository."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,lynx,"is a terminal browser also used in debrice for generating in-terminal previews of websites, emails and HTML files."
,xcape,"gives the special escape/super mappings of debrice."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,wmctrl,"switches workspaces from the command line (used for tag cycling)."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-poppler,"allows poppler pdf compatibility in zathura."
,poppler-utils,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xbacklight,"enables changing screen brightness levels."
,zsh-syntax-highlighting,"provides syntax highlighting in the shell."
,task-spooler,"queues commands or files for download."
,jmtpfs,"enables the mounting of cell phones."
,htop,"is a graphical and colorful system monitor."
,network-manager,"manages network connections and provides nmtui."
,build-essential,"provides compilers and make for building software."
,pkg-config,"locates library compile flags for builds."
,libx11-dev,"is the X11 client library needed to build st, dmenu, sxwm and sxbar."
,libxft-dev,"is the X FreeType library needed to build st, dmenu and sxbar."
,libxinerama-dev,"is the Xinerama library needed to build dmenu, sxwm and sxbar."
,libxcursor-dev,"is the X cursor library needed to build sxwm."
,libfontconfig1-dev,"is the font configuration library needed to build st and sxbar."
,libxext-dev,"is the X extensions library needed to build slock."
,libxrandr-dev,"is the X resize-and-rotate library needed to build slock."
,libharfbuzz-dev,"provides text shaping needed to build st with ligatures."
G,https://github.com/uint23/sxbar.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is Luke's custom build of suckless's terminal emulator."
G,https://github.com/uint23/sxwm.git,"is the window manager."
G,https://github.com/LukeSmithxyz/mutt-wizard.git,"is a light-weight terminal-based email system."
G,https://git.suckless.org/slock,"allows you to lock your computer, and quickly unlock with your password."
,neomutt,"is the terminal email client configured by mutt-wizard."
,isync,"syncs mail for neomutt (mbsync)."
,msmtp,"sends mail for neomutt."
,pass,"stores mail passwords securely for mutt-wizard."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"provides chronic, sponge and other handy utilities."
,tesseract-ocr,"command-line OCR engine for advance maimpick"
,tesseract-ocr-eng,"english language pack for OCR"
,groff,"renders the debrice cheat sheet (super+F1) into a PDF."
,zsh,"is the default shell."
,git,"clones the repositories built and deployed by debrice."
,curl,"downloads files and repository keys."
,ca-certificates,"verifies TLS certificates for downloads."
,gnupg,"verifies and dearmors repository signing keys."
,xserver-xephyr,"runs a nested X server used to smoke-test sxwm."
